id,name,region,phone,price,description
1,강남 이사 전문,서울 강남구,02-1234-5678,300000,강남구 전문 이삿짐 센터
2,서울 빠른 이사,서울 강남구,02-2345-6789,280000,빠른 서비스 제공
3,믿음 이삿짐,서울 강남구,02-3456-7890,320000,20년 경력의 전문 업체
4,안전 포장 이사,서울 강남구,02-4567-8901,350000,고급 포장 서비스
5,1인 가구 전문,서울 강남구,02-5678-9012,250000,1인 가구 특화 서비스
6,서울 이삿짐,서울 송파구,02-6789-0123,270000,송파구 지역 전문
7,빠른 손 이사,서울 송파구,02-7890-1234,290000,당일 이사 가능
8,프리미엄 이사,서울 송파구,02-8901-2345,400000,프리미엄 서비스
9,착한 이삿짐,서울 마포구,02-9012-3456,260000,합리적인 가격
10,마포 이사 센터,서울 마포구,02-0123-4567,280000,마포구 지역 전문
11,서초 프리미엄 이사,서울 서초구,02-3478-5621,330000,서초구 지역 전문
12,안심 이삿짐,서울 서초구,02-5239-8146,295000,친절한 서비스
13,서초 빠른 이사,서울 서초구,02-8947-3652,310000,당일 이사 가능
14,영등포 이사 센터,서울 영등포구,02-2637-8549,275000,영등포구 지역 전문
15,믿음직한 이사,서울 영등포구,02-7584-2391,285000,20년 경력 업체
16,영등포 포장 이사,서울 영등포구,02-4918-6372,340000,고품질 포장 서비스
